label,Regular,Diesel
1994,1.030,
1995,1.071,
1996,1.145,
1997,1.149,
1998,0.971,1.011
1999,1.062,1.068
2000,1.415,1.450
2001,1.320,1.345
2002,1.274,1.280
2003,1.480,1.475
2004,1.801,1.757
2005,2.253,2.362
2006,2.533,2.650
2007,2.733,2.831
2008,3.230,3.805
2009,2.296,2.442
2010,2.714,2.954
2011,3.458,3.800
2012,3.534,3.924
2013,3.428,3.876
2014,3.283,3.767
2015,2.290,2.668
2016,2.053,2.244
2017,2.290,2.579
2018,2.563,3.061
2019,2.410,2.945
2020,2.012,2.480
2021,2.833,3.174
2022,3.654,4.920
2023,3.279,4.149
2024,3.142,3.744
2025,2.892,3.624
