label,Regular,Midgrade,Premium,Diesel
1994,1.030,,,
1995,1.071,1.181,1.279,
1996,1.145,1.250,1.347,
1997,1.149,1.251,1.349,
1998,0.971,1.075,1.170,1.011
1999,1.062,1.167,1.258,1.068
2000,1.415,1.517,1.608,1.450
2001,1.320,1.423,1.516,1.345
2002,1.274,1.378,1.475,1.280
2003,1.480,1.580,1.677,1.475
2004,1.801,1.898,1.995,1.757
2005,2.253,2.352,2.451,2.362
2006,2.533,2.634,2.738,2.650
2007,2.733,2.847,2.958,2.831
2008,3.230,3.357,3.477,3.805
2009,2.296,2.426,2.556,2.442
2010,2.714,2.851,2.984,2.954
2011,3.458,3.601,3.742,3.800
2012,3.534,3.691,3.847,3.924
2013,3.428,3.622,3.813,3.876
2014,3.283,3.503,3.721,3.767
2015,2.290,2.527,2.776,2.668
2016,2.053,2.337,2.621,2.244
2017,2.290,2.603,2.896,2.579
2018,2.563,2.880,3.168,3.061
2019,2.410,2.744,3.034,2.945
2020,2.012,2.368,2.662,2.480
2021,2.833,3.192,3.489,3.174
2022,3.654,4.044,4.367,4.920
2023,3.279,3.690,4.029,4.149
2024,3.142,3.584,3.940,3.744
2025,2.892,3.360,3.715,3.624
