label,United States,Germany
1939-09,,15000
1939-10,,3000
1939-11,,1000
1939-12,,
1940-01,,2000
1940-02,,
1940-03,,5000
1940-04,,3000
1940-05,,21000
1940-06,,29000
1940-07,,7000
1940-08,,4000
1940-09,,4000
1940-10,,5033
1940-11,,1000
1940-12,,2000
1941-01,,10000
1941-02,,1000
1941-03,,4000
1941-04,,4000
1941-05,,13000
1941-06,,29000
1941-07,,67132
1941-08,,51066
1941-09,,53033
1941-10,,44099
1941-11,,38000
1941-12,810,42198
1942-01,947,53165
1942-02,660,52099
1942-03,1303,46132
1942-04,662,24066
1942-05,2746,44099
1942-06,2777,34033
1942-07,2389,46099
1942-08,1477,74231
1942-09,1380,46033
1942-10,1414,30000
1942-11,2501,38231
1942-12,2478,83792
1943-01,2651,185376
1943-02,2556,74363
1943-03,2390,59099
1943-04,2800,21066
1943-05,3292,31099
1943-06,2624,21066
1943-07,4872,79231
1943-08,3974,66198
1943-09,3351,69495
1943-10,3678,61330
1943-11,5216,77396
1943-12,4234,66330
1944-01,5691,81330
1944-02,6724,91495
1944-03,5717,112759
1944-04,5905,92363
1944-05,7745,78495
1944-06,16268,182178
1944-07,18910,215013
1944-08,14538,348960
1944-09,15469,151957
1944-10,15029,184089
1944-11,17569,103561
1944-12,20257,159386
1945-01,18097,451742
1945-02,14995,294772
1945-03,17830,284442
1945-04,19085,281848
1945-05,8136,94528
1945-06,4837,
1945-07,3233,
1945-08,2568,
1945-09,1994,
1945-10,1832,
1945-11,1554,
1945-12,1719,
