label,Europe,North Africa and Italy,Pacific
1941-12,0,0,506
1942-01,6,2,521
1942-02,1,2,294
1942-03,0,3,200
1942-04,5,11,793
1942-05,6,0,2177
1942-06,14,2,2084
1942-07,28,3,1549
1942-08,52,8,674
1942-09,66,5,507
1942-10,95,2,464
1942-11,143,693,845
1942-12,192,304,991
1943-01,274,302,919
1943-02,298,563,256
1943-03,201,741,238
1943-04,175,1133,263
1943-05,527,587,626
1943-06,530,364,373
1943-07,615,1611,906
1943-08,615,1143,542
1943-09,434,1112,497
1943-10,827,1197,570
1943-11,825,2658,941
1943-12,1056,1433,832
1944-01,1114,2552,1452
1944-02,1440,3360,2176
1944-03,1496,1709,1613
1944-04,2265,1818,1565
1944-05,1728,3879,2457
1944-06,10866,2454,4999
1944-07,13211,2654,6201
1944-08,11296,1105,4838
1944-09,10956,1860,5230
1944-10,7804,2822,4996
1944-11,13339,1136,6383
1944-12,15418,1028,7491
1945-01,13063,577,4968
1945-02,9005,1242,3688
1945-03,13036,883,4621
1945-04,10677,2163,5123
1945-05,2106,351,1813
1945-06,1185,201,922
1945-07,968,194,694
1945-08,636,138,564
1945-09,589,77,460
1945-10,545,121,380
1945-11,467,137,299
1945-12,411,69,453
